"Codice comune";"Comune";"Età";"Totale maschi";"Totale femmine";"Totale"
"038001";"Argenta";0;59;60;119
"038001";"Argenta";1;46;62;108
"038001";"Argenta";2;57;59;116
"038001";"Argenta";3;59;63;122
"038001";"Argenta";4;68;67;135
"038001";"Argenta";5;72;66;138
"038001";"Argenta";6;85;70;155
"038001";"Argenta";7;82;55;137
"038001";"Argenta";8;71;85;156
"038001";"Argenta";9;73;94;167
"038001";"Argenta";10;91;72;163
"038001";"Argenta";11;93;82;175
"038001";"Argenta";12;98;88;186
"038001";"Argenta";13;85;101;186
"038001";"Argenta";14;101;105;206
"038001";"Argenta";15;90;93;183
"038001";"Argenta";16;91;76;167
"038001";"Argenta";17;94;97;191
"038001";"Argenta";18;99;88;187
"038001";"Argenta";19;102;76;178
"038001";"Argenta";20;104;94;198
"038001";"Argenta";21;97;80;177
"038001";"Argenta";22;99;94;193
"038001";"Argenta";23;86;96;182
"038001";"Argenta";24;99;101;200
"038001";"Argenta";25;103;75;178
"038001";"Argenta";26;112;86;198
"038001";"Argenta";27;120;82;202
"038001";"Argenta";28;117;88;205
"038001";"Argenta";29;125;94;219
"038001";"Argenta";30;110;88;198
"038001";"Argenta";31;111;95;206
"038001";"Argenta";32;97;92;189
"038001";"Argenta";33;118;90;208
"038001";"Argenta";34;104;102;206
"038001";"Argenta";35;100;102;202
"038001";"Argenta";36;119;100;219
"038001";"Argenta";37;124;111;235
"038001";"Argenta";38;102;124;226
"038001";"Argenta";39;108;86;194
"038001";"Argenta";40;114;102;216
"038001";"Argenta";41;130;110;240
"038001";"Argenta";42;139;130;269
"038001";"Argenta";43;133;114;247
"038001";"Argenta";44;132;133;265
"038001";"Argenta";45;132;122;254
"038001";"Argenta";46;153;145;298
"038001";"Argenta";47;147;139;286
"038001";"Argenta";48;154;147;301
"038001";"Argenta";49;172;160;332
"038001";"Argenta";50;158;145;303
"038001";"Argenta";51;183;158;341
"038001";"Argenta";52;184;161;345
"038001";"Argenta";53;173;179;352
"038001";"Argenta";54;186;172;358
"038001";"Argenta";55;174;165;339
"038001";"Argenta";56;164;170;334
"038001";"Argenta";57;195;196;391
"038001";"Argenta";58;147;149;296
"038001";"Argenta";59;191;182;373
"038001";"Argenta";60;183;163;346
"038001";"Argenta";61;169;171;340
"038001";"Argenta";62;163;191;354
"038001";"Argenta";63;168;164;332
"038001";"Argenta";64;165;180;345
"038001";"Argenta";65;163;169;332
"038001";"Argenta";66;150;165;315
"038001";"Argenta";67;139;143;282
"038001";"Argenta";68;160;139;299
"038001";"Argenta";69;155;149;304
"038001";"Argenta";70;122;135;257
"038001";"Argenta";71;136;160;296
"038001";"Argenta";72;116;155;271
"038001";"Argenta";73;110;131;241
"038001";"Argenta";74;117;125;242
"038001";"Argenta";75;124;144;268
"038001";"Argenta";76;123;126;249
"038001";"Argenta";77;126;152;278
"038001";"Argenta";78;125;141;266
"038001";"Argenta";79;122;143;265
"038001";"Argenta";80;69;91;160
"038001";"Argenta";81;82;113;195
"038001";"Argenta";82;94;98;192
"038001";"Argenta";83;55;99;154
"038001";"Argenta";84;59;96;155
"038001";"Argenta";85;78;113;191
"038001";"Argenta";86;69;109;178
"038001";"Argenta";87;50;107;157
"038001";"Argenta";88;44;79;123
"038001";"Argenta";89;32;72;104
"038001";"Argenta";90;34;62;96
"038001";"Argenta";91;36;52;88
"038001";"Argenta";92;26;45;71
"038001";"Argenta";93;24;43;67
"038001";"Argenta";94;10;19;29
"038001";"Argenta";95;11;23;34
"038001";"Argenta";96;7;16;23
"038001";"Argenta";97;2;17;19
"038001";"Argenta";98;3;3;6
"038001";"Argenta";99;1;8;9
"038001";"Argenta";100;4;8;12
"038001";"Argenta";999;10558;10737;21295
"038003";"Bondeno";0;45;23;68
"038003";"Bondeno";1;42;49;91
"038003";"Bondeno";2;49;33;82
"038003";"Bondeno";3;44;48;92
"038003";"Bondeno";4;45;47;92
"038003";"Bondeno";5;38;30;68
"038003";"Bondeno";6;51;43;94
"038003";"Bondeno";7;50;40;90
"038003";"Bondeno";8;56;49;105
"038003";"Bondeno";9;63;55;118
"038003";"Bondeno";10;49;44;93
"038003";"Bondeno";11;64;62;126
"038003";"Bondeno";12;68;49;117
"038003";"Bondeno";13;54;76;130
"038003";"Bondeno";14;51;56;107
"038003";"Bondeno";15;81;72;153
"038003";"Bondeno";16;58;80;138
"038003";"Bondeno";17;55;63;118
"038003";"Bondeno";18;78;65;143
"038003";"Bondeno";19;62;52;114
"038003";"Bondeno";20;62;67;129
"038003";"Bondeno";21;63;72;135
"038003";"Bondeno";22;64;63;127
"038003";"Bondeno";23;66;59;125
"038003";"Bondeno";24;69;51;120
"038003";"Bondeno";25;64;63;127
"038003";"Bondeno";26;73;59;132
"038003";"Bondeno";27;76;57;133
"038003";"Bondeno";28;91;73;164
"038003";"Bondeno";29;76;71;147
